component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
81,13,15,True,2,2,3,2,0.6774193548387096,31,exact_parallel,0.0183
82,13,21,True,5,5,6,4,1.1458333333333333,48,exact_parallel,0.018
83,13,23,True,5,5,6,3,1.0,48,exact_parallel,0.0188
84,13,22,True,5,5,6,3,1.1176470588235294,51,exact_parallel,0.0189
85,12,14,True,1,1,2,1,0.5384615384615384,26,exact_parallel,0.0241
86,12,14,True,3,3,4,3,0.8064516129032258,31,exact_parallel,0.024
87,12,17,True,5,5,6,4,1.5789473684210527,57,exact_parallel,0.0191
88,12,23,True,4,4,5,1,0.6571428571428571,35,exact_parallel,0.0185
89,12,15,True,3,3,4,3,0.8823529411764706,34,exact_parallel,0.0182
90,12,16,True,3,3,4,3,0.8529411764705882,34,exact_parallel,0.0193
91,11,18,True,3,3,4,2,0.8571428571428571,35,exact_parallel,0.0171
92,11,13,True,3,3,4,3,0.8275862068965517,29,exact_parallel,0.0164
93,11,13,True,4,4,5,3,1.0,33,exact_parallel,0.0169
94,11,20,True,3,3,4,2,0.8648648648648649,37,exact_parallel,0.0198
95,11,12,True,3,3,4,2,0.9696969696969697,33,exact_parallel,0.0254
96,11,16,True,3,3,4,2,0.7741935483870968,31,exact_parallel,0.0236
97,11,12,True,2,2,3,2,0.6923076923076923,26,exact_parallel,0.0173
98,11,27,True,5,5,6,2,0.9347826086956522,46,exact_parallel,0.0166
99,11,10,True,1,1,2,1,0.47619047619047616,21,exact_parallel,0.0173
100,11,24,True,8,8,9,3,1.2142857142857142,56,exact_parallel,0.0171
101,11,11,True,2,2,3,2,0.7307692307692307,26,exact_parallel,0.0167
102,11,10,True,1,1,2,1,0.47619047619047616,21,exact_parallel,0.0159
103,11,18,True,5,5,6,3,0.9736842105263158,38,exact_parallel,0.0157
104,11,14,True,3,3,4,3,0.9696969696969697,33,exact_parallel,0.0162
105,11,21,True,3,3,4,2,0.7714285714285715,35,exact_parallel,0.0163
