component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
82,12,22,False,,5,7,3,1.12,50,exact_parallel,0.012
83,12,17,True,5,5,6,4,1.5789473684210527,57,exact_parallel,0.0117
84,12,14,True,3,3,4,3,0.8064516129032258,31,exact_parallel,0.0119
85,12,15,True,3,3,4,3,0.8823529411764706,34,exact_parallel,0.012
86,12,13,True,3,3,4,3,0.875,32,exact_parallel,0.0117
87,12,14,True,1,1,2,1,0.5384615384615384,26,exact_parallel,0.0118
88,12,23,True,4,4,5,1,0.6571428571428571,35,exact_parallel,0.0118
89,11,20,True,3,3,4,2,0.8648648648648649,37,exact_parallel,0.0119
90,11,14,True,3,3,4,3,0.8333333333333334,30,exact_parallel,0.0116
91,11,13,True,4,4,5,3,1.0,33,exact_parallel,0.0118
92,11,12,True,3,3,4,2,0.9696969696969697,33,exact_parallel,0.0123
93,11,15,True,3,3,4,2,0.7241379310344828,29,exact_parallel,0.0119
94,11,21,True,3,3,4,2,0.7714285714285715,35,exact_parallel,0.0123
95,11,32,False,,4,8,3,1.1016949152542372,59,exact_parallel,0.0119
96,11,18,True,5,5,6,3,0.9736842105263158,38,exact_parallel,0.0237
97,11,10,True,1,1,2,1,0.47619047619047616,21,exact_parallel,0.0125
98,11,25,False,,7,10,4,1.4179104477611941,67,exact_parallel,0.0126
99,11,13,True,3,3,4,3,0.8275862068965517,29,exact_parallel,0.0112
100,11,11,True,2,2,3,2,0.7307692307692307,26,exact_parallel,0.0116
101,11,10,True,1,1,2,1,0.47619047619047616,21,exact_parallel,0.0115
102,11,25,True,4,4,5,2,0.825,40,exact_parallel,0.0112
103,11,17,True,4,4,5,3,1.0975609756097562,41,exact_parallel,0.0116
104,11,11,True,2,2,3,2,0.5652173913043478,23,exact_parallel,0.012
105,11,16,True,3,3,4,2,0.7741935483870968,31,exact_parallel,0.0118
106,11,14,True,3,3,4,3,0.9696969696969697,33,exact_parallel,0.0118
107,11,18,True,3,3,4,2,0.8571428571428571,35,exact_parallel,0.012
108,10,19,True,7,7,8,3,1.297872340425532,47,exact_parallel,0.0125
109,10,9,True,1,1,2,1,0.47368421052631576,19,exact_parallel,0.0118
110,10,27,True,7,7,8,3,1.0980392156862746,51,exact_parallel,0.0117
111,10,18,False,,5,7,4,1.3695652173913044,46,exact_parallel,0.0118
112,10,10,True,2,2,3,2,0.8461538461538461,26,exact_parallel,0.012
113,10,23,True,5,5,6,2,0.925,40,exact_parallel,0.0122
114,10,14,False,,3,6,4,1.2432432432432432,37,exact_parallel,0.0119
115,10,21,False,,3,6,3,0.918918918918919,37,exact_parallel,0.0117
116,10,10,True,5,5,6,4,1.2333333333333334,30,exact_parallel,0.0121
117,10,12,True,2,2,3,1,0.5454545454545454,22,exact_parallel,0.0117
118,10,14,True,3,3,4,2,0.7407407407407407,27,exact_parallel,0.0117
119,10,19,True,4,4,5,2,0.8857142857142857,35,exact_parallel,0.0122
120,10,17,True,3,3,4,2,1.0263157894736843,38,exact_parallel,0.0122
121,10,25,True,5,5,6,2,0.875,40,exact_parallel,0.0118
122,9,14,True,4,4,5,3,1.1176470588235294,34,exact_parallel,0.0118
123,9,11,True,2,2,3,2,0.6190476190476191,21,exact_parallel,0.0118
124,9,10,True,2,2,3,2,0.6666666666666666,21,exact_parallel,0.0124
125,9,10,True,3,3,4,2,0.88,25,exact_parallel,0.0118
126,9,21,False,,4,6,2,0.8857142857142857,35,exact_parallel,0.0119
127,9,27,True,6,6,7,2,0.7837837837837838,37,exact_parallel,0.0124
128,9,10,True,2,2,3,2,0.6666666666666666,21,exact_parallel,0.0123
129,9,17,True,3,3,4,2,0.75,28,exact_parallel,0.0121
130,9,12,True,4,4,5,3,1.096774193548387,31,exact_parallel,0.0123
131,9,13,True,4,4,5,2,0.9310344827586207,29,exact_parallel,0.0126
132,9,30,True,6,6,7,2,0.8837209302325582,43,exact_parallel,0.0126
133,9,17,True,4,4,5,2,0.90625,32,exact_parallel,0.0118
134,9,12,True,3,3,4,2,0.8,25,exact_parallel,0.0118
135,9,18,True,5,5,6,2,0.7586206896551724,29,exact_parallel,0.0119
136,9,10,True,3,3,4,3,0.875,24,exact_parallel,0.0122
137,9,11,True,4,4,5,3,1.037037037037037,27,exact_parallel,0.0119
138,9,13,True,3,3,4,2,0.7083333333333334,24,exact_parallel,0.0118
139,9,9,True,2,2,3,2,0.5789473684210527,19,exact_parallel,0.012
140,9,15,True,4,4,5,2,0.9354838709677419,31,exact_parallel,0.0116
141,8,8,True,4,4,5,3,0.9545454545454546,22,exact_parallel,0.0117
142,8,8,True,2,2,3,2,0.5882352941176471,17,exact_parallel,0.0122
143,8,10,True,3,3,4,2,0.8695652173913043,23,exact_parallel,0.0117
144,8,15,True,4,4,5,2,0.8928571428571429,28,exact_parallel,0.0118
145,8,9,True,1,1,2,1,0.5294117647058824,17,exact_parallel,0.0125
146,8,17,True,5,5,6,2,0.8620689655172413,29,exact_parallel,0.0125
147,8,18,True,5,5,6,2,0.9375,32,exact_parallel,0.012
148,8,10,True,3,3,4,2,0.7,20,exact_parallel,0.013
149,8,16,True,4,4,5,1,0.6666666666666666,24,exact_parallel,0.0123
150,8,7,True,2,2,3,2,0.5625,16,exact_parallel,0.0125
151,8,9,True,3,3,4,2,0.75,20,exact_parallel,0.0121
152,8,8,True,2,2,3,2,0.6666666666666666,18,exact_parallel,0.0117
153,8,7,True,2,2,3,2,0.7894736842105263,19,exact_parallel,0.0116
154,8,7,True,3,3,4,3,1.0,21,exact_parallel,0.0118
155,8,8,True,3,3,4,3,1.0416666666666667,24,exact_parallel,0.0116
156,8,10,True,4,4,5,2,0.8695652173913043,23,exact_parallel,0.0118
157,8,12,True,3,3,4,3,1.0,27,exact_parallel,0.0116
158,8,15,True,4,4,5,2,0.8076923076923077,26,exact_parallel,0.0115
159,8,10,True,2,2,3,2,0.7,20,exact_parallel,0.0118
160,8,8,True,3,3,4,3,1.0434782608695652,23,exact_parallel,0.0116
161,8,7,True,2,2,3,2,0.6470588235294118,17,exact_parallel,0.0115
162,8,9,True,3,3,4,2,0.75,20,exact_parallel,0.0116
163,8,10,True,2,2,3,2,0.96,25,exact_parallel,0.0116
164,8,8,True,2,2,3,1,0.5,16,exact_parallel,0.0119
165,8,8,True,2,2,3,2,0.7368421052631579,19,exact_parallel,0.0119
166,7,10,True,6,6,7,4,1.3214285714285714,28,exact_parallel,0.0118
167,7,7,True,2,2,3,2,0.6875,16,exact_parallel,0.0115
168,7,12,True,4,4,5,2,0.8181818181818182,22,exact_parallel,0.0116
