graph,min_size,threshold,n_communities,coverage,overlap_rate,n_overlapping,avg_memberships,avg_comm_size,median_comm_size,modularity_overlap,conductance,micro_frac,elapsed_s
G_CitOnly,4,0.3,1192,0.6444678456007843,0.03901848095560063,1385,2.07870036101083,31.03187919463087,9.0,0.25341922401470435,0.28185744911458266,0.13338926174496643,22.9
G_BC,4,0.3,1097,0.7361595750221342,0.054026647800966866,2291,2.063727629855958,40.87693710118505,9.0,0.3065332437912237,0.2600209905586844,0.10847766636280766,912.4
G_CitOnly,5,0.3,966,0.6013653364319692,0.0457399915464042,1515,2.060726072607261,35.95134575569358,11.0,0.2279986265591424,0.2700629658275183,0.0,18.8
G_BC,5,0.3,897,0.7014218009478673,0.051777051777051775,2092,2.0650095602294454,47.5273132664437,11.0,0.2831790201941749,0.2479781603084982,0.0,916.2
G_CitOnly,6,0.3,815,0.5606412723773557,0.04614786748275527,1425,2.0842105263157893,39.7840490797546,14.0,0.20289430624920393,0.2705157055699835,0.0,16.2
G_BC,6,0.3,783,0.669201256878982,0.056423160734668465,2175,2.053793103448276,52.158365261813536,14.0,0.25406905675867353,0.248388030446646,0.0,908.9
G_CitOnly,7,0.3,762,0.5269254511783289,0.044070015850044796,1279,2.0531665363565286,39.854330708661415,15.0,0.1798682562030768,0.28792270309279255,0.0,13.6
G_BC,7,0.3,770,0.6389076957797337,0.05765834306985843,2122,2.0692742695570217,50.74285714285714,16.0,0.22721902481387377,0.2630047081763968,0.0,909.4
G_CitOnly,4,0.35,1295,0.644976215548858,0.05877716473370116,2088,2.103927203065134,29.211583011583013,9.0,0.24456714679663477,0.29051652242859516,0.12123552123552124,20.4
G_BC,4,0.35,1217,0.7357950106765273,0.06910626651566629,2929,2.0686241037896895,37.39852095316352,9.0,0.2942449195017963,0.27300987264855026,0.09942481511914544,922.6
G_CitOnly,5,0.35,1063,0.6013653364319692,0.06424732805989976,2128,2.081296992481203,33.323612417685794,11.0,0.21733573695086456,0.28369307147673073,0.0,17.0
