u,v,support,score_debias,fos_u,fos_v,same_L2,shared_L2
doi_________::a6cb28e7426cb40184755453ef510e6e,doi_dedup___::d4703e4def6bab6820e7feea977a3b99,1781,5.8,0103 physical sciences,0103 physical sciences,True,True
doi_________::b696b01815a5c9607748a4963007a18b,doi_dedup___::d4703e4def6bab6820e7feea977a3b99,1927,5.75,0103 physical sciences,0103 physical sciences,True,True
doi_dedup___::38b216735afe1fe9b98d454b4734010c,doi_dedup___::b9b50aa7c7988cda098fdc18b018e6e8,188,5.61,0103 physical sciences,0103 physical sciences,True,True
doi_dedup___::02bbea7aa0840dd31d827dd83aaab136,doi_dedup___::539f569c72f3e82d5f50f4282262c145,256,5.57,0103 physical sciences,N/A,False,False
doi_dedup___::0ea0e3cf6379a5c5f14adbe39d0c14c2,doi_dedup___::3b7920a4b57fa840c851d8d846583c66,157,5.49,0301 basic medicine; 0303 health sciences; 0103 physical sciences,0103 physical sciences,False,True
doi_dedup___::30217c0b9e636fbfeef57221107b8a8c,doi_dedup___::b8209110aa2bd25aac1a85236f7c49a5,163,5.45,0302 clinical medicine,0302 clinical medicine,True,True
doi_dedup___::70e11e5f24eda034b1aa14628e89defe,doi_dedup___::ba641b5d5dce345b410878e1d577ac9c,182,5.4,0302 clinical medicine,0302 clinical medicine,True,True
doi_dedup___::2f284758859229700ba723887c0c7b65,doi_dedup___::781388f411114f6774c35ffd5f84c499,571,5.38,0103 physical sciences,0103 physical sciences,True,True
doi_dedup___::024d68d965d9643bdcb2813764b6b452,doi_dedup___::9f7d56ac7ffe53e7fbbfaf15f386c318,342,5.34,0103 physical sciences,0103 physical sciences,True,True
doi_dedup___::05d9058d782095cdac54b4f536bfba6f,doi_dedup___::3ce5a4c27576240927a68b63468cc062,364,5.25,0103 physical sciences,0103 physical sciences,True,True
doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,355,5.07,0103 physical sciences,0103 physical sciences,True,True
doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,doi_dedup___::a953d7ea952cd6bdb405103685d1d774,219,4.71,0103 physical sciences,0103 physical sciences,True,True
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,492,4.7,0103 physical sciences,0301 basic medicine; 0303 health sciences; 0103 physical sciences,False,True
doi_dedup___::4dc13b4e74c2a38b54c05bdb7c57dd9f,doi_dedup___::c16efc1fc669bf9856a6e43c8c511c38,250,4.63,N/A,0302 clinical medicine,False,False
doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,doi_dedup___::d4ce4e1a498158492903c91b2579b570,129,4.56,0302 clinical medicine,0302 clinical medicine,True,True
